resolved_name;Value (n)
Carex_aquatilis;38
Carex_aquatilis_var_aquatilis;38
Carex_aquatilis_var_minor;38
Carex_atrofusca;19
Carex_baccans;23
Carex_backii;33
Carex_canescens;28
Carex_capillacea;30
Carex_capillaris;9
Carex_cephalophora;24
Carex_chordorrhiza;31
Carex_comans;20
Carex_conferta;26
Carex_debilis;27
Carex_distans;35
Carex_divulsa;28
Carex_echinata;26
Carex_echinochloe;21
Carex_extensa;30
Carex_fuliginosa;20
Carex_glacialis;17
Carex_grayi;26
Carex_halleriana;26
Carex_heterolepis;40
Carex_hochstetteriana;38
Carex_hostiana;28
Carex_humilis;18
Carex_kiotensis;37
Carex_lachenalii;31
Carex_lamprocarpa;29
Carex_leptalea;26
Carex_livida;16
Carex_magellanica;29
Carex_marina;31
Carex_maritima;30
Carex_membranacea;38
Carex_microglochin;28
Carex_nardina;34
Carex_nigra;41
Carex_obtusata;26
Carex_otrubae;29
Carex_ovalis;33
Carex_pairae;28
Carex_paleacea;36
Carex_panicea;16
Carex_pauciflora;23
Carex_pendula;30
Carex_peregrina;31
Carex_pilulifera;9
Carex_pulicaris;30
Carex_punctata;34
Carex_rariflora;26
Carex_recta;38
Carex_rostrata;37
Carex_rupestris;25
Carex_saxatilis;39
Carex_scirpoidea;31
Carex_shimidzensis;34
Carex_viridula;35
Carex_xerantica;34
Kobresia_fragilis;29
Kobresia_simpliciuscula;35
Schoenoxiphium_burkei;35
Schoenoxiphium_ecklonii;18
Schoenoxiphium_filiforme;36
Schoenoxiphium_ludwigii;17
Schoenoxiphium_sparteum;16
Uncinia_filiformis;44
Uncinia_phleoides;48
Uncinia_uncinata;44
Pycreus_flavescens;35
Cyperus_capitatus;41
Cyperus_esculentus;54
Cyperus_iria;56
Cyperus_longus;60
Kyllinga_brevifolia;58
Kyllinga_bulbosa;7
